iDs,company_name,menuloc,menuvisible,count,parentid,menutid,menulink,site,lang,bgcolor,textcolor,sortid,target,userid,fid,menusort,_source_url,financial_activities_id,financial_activities_name,industry_names,entity_name,license_number,license_date,decision_number,registration_number,state_number,ceo,oldlink,address,source_detail_url
13.0,Даатгал,main,1.0,0.0,10.0,sct,,main,mn,,,1.0,,,0.0,2022-08-01T00:03:31,https://www.frc.mn:5001/api/menu?site=main&lang=mn&position=main&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu?site=main&lang=mn&position=main&status=1
13.0,Даатгал,main,1.0,0.0,10.0,sct,,main,mn,,,1.0,,,0.0,2022-08-01T00:03:31,https://www.frc.mn:5001/api/menu?site=main&lang=mn&position=main&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu?site=main&lang=mn&position=main&status=1
13.0,Даатгал,main,1.0,0.0,10.0,sct,,main,mn,,,0.0,,,0.0,2022-08-01T00:03:31,https://www.frc.mn:5001/api/menu/getsubmenu?id=13&site=main&lang=mn&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu/getsubmenu?id=13&site=main&lang=mn&status=1
252.0,Хүртээмжтэй даатгал,sub,1.0,0.0,13.0,doc/list,,main,mn,,,0.0,,,0.0,2022-06-14T00:01:27,https://www.frc.mn:5001/api/menu/getsubmenu?id=13&site=main&lang=mn&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu/getsubmenu?id=13&site=main&lang=mn&status=1
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,Тен Икс Коннект ХХК,ТЗ 210/90,3/26/2026 12:00:00 AM,90,7159081,9011879550,Э.Мөнхтөр,,Улаанбаатар Сүхбаатар 6-р хороо Бага тойруу Жем Кастл 810,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,Дэхатун Брокерс ХХК,ТЗ 210/89,12/25/2025 12:00:00 AM,501,7090537,9011872143,Ж.Батчимэг,,Улаанбаатар Сүхбаатар 2-р хороо Сөүлийн гудамж 11/1 3 давхарт,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Ердийн даатгал,&quot;Үндэстэн женерал даатгал&quot; ХХК,ТЗ 201/26,11/27/2025 12:00:00 AM,464,7139721,9011877470,Ч.Мөнхтогоо,,"   13 Хороолол /13374/, Манлай баатар Дамдинсүрэн гудамж 83/2 оффисын 407 тоот Утас:77301212",https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,Токи шоп ХХК,ТЗ 210/88,11/13/2025 12:00:00 AM,446,8422168,9011856716,Д.Жамъяншарав,,Улаанбаатар Сүхбаатар 8-р хороо Сүхбаатарын талбай-2 Сэнтрал тауэр 8 давхар,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,"Даатгалын байгууллагад аудит хийх,  ҮЦЗЗ-д оролцогчид аудитын үйлчилгээ үзүүлэх",&quot;АЛАГ УУЛ ФИНАНС АУДИТ&quot;ХХК,Б353/79,10/23/2025 12:00:00 AM,420,5544173,9018001071,Ж.Ундрахгэрэл,,   Улаанбаатар Баянзүрх дүүрэг 43-р хороо Манлайбаатар Дамдинсүрэн гудамж UB тауэр оффис 303 тоот,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Урт хугацааны даатгал,Коннектлайф даатгал ХХК,ТЗ 202/03,7/24/2025 12:00:00 AM,283,8427976,9011857158,Б.Чулуунпүрэв,,Улаанбаатар Хан-Уул 11-р хороо Зайсан гудамж 68 01,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,Айшюр ХХК,ТЗ 210/87,2/25/2025 12:00:00 AM,45,8482497,9011861122,Ш.Эрдэнэбилэг,,Улаанбаатар Сүхбаатар 1-р хороо Парис 42 1503,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,ТӨР ЭНХ УРАН ХХК,ТЗ210/86,2/25/2025 12:00:00 AM,43,8484066,9011861243,Б.Ариунбаяр,,Улаанбаатар Сүхбаатар 11-р хороо  72 дугаар байр 4 тоот,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Ердийн даатгал,Агис менежмент даатгал,201/25,11/25/2024 12:00:00 AM,551,7043689,9011866930,Б.Жавхлан,,Улаанбаатар Сүхбаатар 1-р хороо Чагдаржавын гудамж 32/2 1403,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,ҮЦЗЗ-д оролцогчид аудитын үйлчилгээ үзүүлэх,&quot;Монголын үндэсний тайлагнал аудит&quot; ХХК,Э220/68,10/9/2024 12:00:00 AM,470,6260497,9018001123,Д.Оргилмаа,,"Улаанбаатар Чингэлтэй 5-р хороо Самбуугийн гудамж, М плаза 607",https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын хохирол үнэлэгч,&quot;ХААН ҮНЭЛГЭЭ&quot; ХХК,ТЗ211/40,9/30/2024 12:00:00 AM,449,6427111,9011346107,Д.Гантулга,,Улаанбаатар Сүхбаатар 8-р хороо Болгарын гудамж Unity center 401,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын хохирол үнэлэгч,Гранд ассет валью,ТЗ 211/41,9/30/2024 12:00:00 AM,451,7037521,9011866230,Д.Даваахүү,,Улаанбаатар Хан-Уул 16-р хороо Порта Бианка хотхон 45в 104 тоот,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын хохирол үнэлэгч,&quot;ОНЦГОЙ ҮНЭЛГЭЭ&quot; ХХК,ТЗ211/39,8/2/2024 12:00:00 AM,389,8418802,9011856460,А.Цэрэнчунт,,Улаанбаатар Хан-Уул 3-р хороо үйлдвэрийн гудамж 47В 54,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын хохирол үнэлэгч,&quot;ПИННАКЛ ЭКСПЕРТС&quot; ХХК,ТЗ211/38,6/25/2024 12:00:00 AM,312,7018473,9011864122,М.Мягмарцэрэн,,Улаанбаатар Сүхбаатар 6-р хороо Нэгдсэн үндэсний гудамж 47 02,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,НЭТ КЭЙР ХХК,ТЗ210/85,4/29/2024 12:00:00 AM,187,8380627,9011853615,Б.Ариунбаяр,,Улаанбаатар Баянзүрх 6-р хороо  &quot;Барилга МН&quot; оффис 2 давхар,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын хохирол үнэлэгч,&quot;Тэргүүн үнэлгээ&quot; ХХК,ТЗ 211/37,3/29/2024 12:00:00 AM,136,6279422,9011714144,Ч.Манлайбаатар,,Улаанбаатар Хан-Уул 16-р хороо Наадамчдын гудамж Шинэ өргөө 610-4 Утас:9190-2323,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Ердийн даатгал,&quot;ИНШҮРКО ДААТГАЛ&quot; ХХК,ТЗ 201/24,3/20/2024 12:00:00 AM,94,8437882,9011857876,Б.Солонго,,"Улаанбаатар Сүхбаатар 1-р хороо  Эко интернэйшнл тауэр, 9-р давхар 901, 903 тоот",https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын байгууллагад аудит хийх,&quot;СОРОГДОГ ФИНАНС АУДИТ&quot; ХХК,Э220/67,10/25/2023 12:00:00 AM,514,6700306,9011827402,О.Мөнхтуяа,,Улаанбаатар Баянзүрх 16-р хороо 16-р хороолол 53 3,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын байгууллагад аудит хийх,&quot;АЙ ЖЭЙ ЭЙ ЭЙЧ АУДИТ&quot; ХХК,Э220/65,6/2/2023 12:00:00 AM,192,5278376,,,,Улаанбаатар Баянзүрх 15-р хороо Намъянжүнгийн гудамж Коппер плаза 502,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын байгууллагад аудит хийх,&quot;СИЛВЕР СОРОБАН АУДИТ&quot; ХХК,Э220/66,6/2/2023 12:00:00 AM,193,5969034,,,,Улаанбаатар Сүхбаатар 8-р хороо Бага тойруу 8/1 барилга 1504,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын байгууллагад аудит хийх,&quot;НЕКСИА ГЛОБАЛ МОНГОЛИА АУДИТ&quot; ХХК,Э220/64,5/12/2023 12:00:00 AM,153,6761267,,,,Улаанбаатар Сүхбаатар 1-р хороо Олимпын гудамж 32/1 10,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын байгууллагад аудит хийх,СОЛИД ЮНИТИ АУДИТ ХХК,Э220/63,1/25/2023 12:00:00 AM,,6471536,9018018009,,,Улаанбаатар Баянгол 2-р хороо Үндсэн хуулийн гудамж Рокмоон бюлдинг 1003,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,АЙ ЭС КИНГ ШИЙДЭЛ ХХК,ТЗ 210/84,1/13/2023 12:00:00 AM,,6929303,9011844106,М.Золмаа,,Улаанбаатар Чингэлтэй 4-р хороо Самбуугийн гудамж Глобал бизнес центр 403,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,СМАРТ СОНГОЛТ ХХК,ТЗ 210/83,12/23/2022 12:00:00 AM,,6856047,9011838708,Ч.Жалбуу,,Улаанбаатар Сүхбаатар 1-р хороо Олимпийн гудамж Аюуд Тауэр 508,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Урт хугацааны даатгал,Мандал лайф даатгал ХХК,ТЗ 202/02,10/14/2022 12:00:00 AM,523,5573289,9019097408,Ч.Бат-Эрдэнэ,,Улаанбаатар Сүхбаатар 1-р хороо   ,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,ҮЦЗЗ-д оролцогчид аудитын үйлчилгээ үзүүлэх,&quot;Монголын үндэсний тайлагнал аудит&quot; ХХК,67,9/21/2022 12:00:00 AM,,6260497,9018001123,Д.Оргилмаа,,"Улаанбаатар Чингэлтэй 5-р хороо Самбуугийн гудамж, М плаза 607",https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,ДИЖИТАЛ ЗУУЧ ХХК,ТЗ 210/82,8/24/2022 12:00:00 AM,,6821103,9011836167,С.Лхагвасүрэн,,"Улаанбаатар Сүхбаатар 6-р хороо Бага тойруу 24-р байр &quot;Монреимпекс&quot; ХХК-ийн байр 1 давхар, 101 тоот",https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,"Даатгалын зуучлагч/Шууд даатгалын/,  Даатгалын зуучлагч/Шууд даатгалын/,  Даатгалын зуучлагч/Шууд даатгалын/",&quot;Ландон Жи Пи&quot; ХХК,ТЗ 210/81,6/8/2022 12:00:00 AM,,6843433,9011837784,П.Баярмаа,,Улаанбаатар Сүхбаатар 10-р хороо Цагдаагийн гудамж  36,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,Блэк Бий ХХК,ТЗ 210/80,5/25/2022 12:00:00 AM,277,6825869,9011836508,Ж.ЦОЛМОН,,Улаанбаатар Сүхбаатар 1-р хороо Олимп гудамж 14 03,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,ДАРХАН ШАРКС ХХК,ТЗ 210/79,5/11/2022 12:00:00 AM,,6840027,9011837540,Т.Жамсрандорж,,   Энхтайвны өргөн чөлөө Собт трэйд ХХК-ийн байр 300,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,ФИНЕКС СИНЕРЖИ ХХК,ТЗ 210/77,1/12/2022 12:00:00 AM,,6714927,9011828493,Л.Цэрэндолгор,,Улаанбаатар Сүхбаатар 1-р хороо Чагдаржавын гудамж 46 701,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,ОЮУ СТАР ХХК,ТЗ 210/76,10/28/2021 12:00:00 AM,,5517141,9011311007,Ц.Оюунтуяа,,Улаанбаатар Чингэлтэй 2-р хороо Ренталон ХХК  309,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын байгууллагад аудит хийх,&quot;АЗУРЕ ХҮЛҮГ АУДИТ&quot; ХХК,Э220/62,9/22/2021 12:00:00 AM,381,6559565,,,,   Сөүлийн гудамж Н энд Н төвийн байр 303,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын зуучлагч/Шууд даатгалын/,АЙ БРОКЕР ХХК,ТЗ 210/75,9/22/2021 12:00:00 AM,,6752918,9011831235,Р.БАТЦЭЦЭГ,,Улаанбаатар Баянгол 2-р хороо  Старс төв 31,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Ердийн даатгал,Агула даатгал,ТЗ201/23,6/11/2021 12:00:00 AM,227,5554527,9011329088,Д.Долгор,,"Улаанбаатар Сүхбаатар 1-р хороо Олимпын гудамж Нью Хоризонс оффис, 8 давхар, 802 тоот Утас: 72101010",https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,125592766571188,Даатгал,Даатгалын байгууллагад аудит хийх,&quot;АШИД БАЛАНС АУДИТ&quot; ХХК,Э220/61,1/13/2021 12:00:00 AM,09,6579671,,,,Улаанбаатар Сүхбаатар 1-р хороо Чагдаржавын гудамж Ориент плаза 202,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0
