iDs,company_name,menuloc,menuvisible,count,parentid,menutid,menulink,site,lang,bgcolor,textcolor,sortid,target,userid,fid,menusort,_source_url,financial_activities_id,financial_activities_name,industry_names,entity_name,license_number,license_date,decision_number,registration_number,state_number,ceo,oldlink,address,source_detail_url
12.0,Банк бус санхүүгийн байгууллага,main,1.0,0.0,10.0,sct,,main,mn,,,2.0,,,0.0,2022-08-01T00:03:30,https://www.frc.mn:5001/api/menu?site=main&lang=mn&position=main&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu?site=main&lang=mn&position=main&status=1
12.0,Банк бус санхүүгийн байгууллага,main,1.0,0.0,10.0,sct,,main,mn,,,2.0,,,0.0,2022-08-01T00:03:30,https://www.frc.mn:5001/api/menu?site=main&lang=mn&position=main&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu?site=main&lang=mn&position=main&status=1
12.0,Банк бус санхүүгийн байгууллага,main,1.0,0.0,10.0,sct,,main,mn,,,0.0,,,0.0,2022-08-01T00:03:30,https://www.frc.mn:5001/api/menu/getsubmenu?id=12&site=main&lang=mn&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu/getsubmenu?id=12&site=main&lang=mn&status=1
276.0,ББСБ-уудын санхүүгийн тайлангийн нэгтгэлийн танилцуулга,sub,1.0,0.0,247.0,doc/file,,main,mn,,,0.0,,,0.0,2022-06-14T00:01:51,https://www.frc.mn:5001/api/menu/getparentsub?id=12&site=main&lang=mn&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu/getparentsub?id=12&site=main&lang=mn&status=1
282.0,ББСБ-уудын анхааралд,sub,1.0,0.0,248.0,list,#/list/282,main,mn,,,0.0,,,0.0,2022-06-14T00:02:04,https://www.frc.mn:5001/api/menu/getparentsub?id=12&site=main&lang=mn&status=1,,,,,,,,,,,,,https://www.frc.mn:5001/api/menu/getparentsub?id=12&site=main&lang=mn&status=1
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0,125592754372644,Банк бус санхүүгийн байгууллага,Гадаад валютын арилжаа,Хадвэй ХХК,ТЗ 101/826,6/29/2026 12:00:00 AM,64,8407959,9011855670,,,Улаанбаатар Сүхбаатар 1-р хороо Элчин 14 10,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0,125592754372644,Банк бус санхүүгийн байгууллага,"Гадаад валютын арилжаа,  Зээл",Нью контакт финанс,ТЗ101/835,6/29/2026 12:00:00 AM,234,3339262,0611009235,,,Дорноговь Замын-Үүд 1-р баг тээвэрчдийн өргөн чөлөө 148д 1,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0,125592754372644,Банк бус санхүүгийн байгууллага,Гадаад валютын арилжаа,Рапид Икс,ТЗ 101/836,6/25/2026 12:00:00 AM,235,7239737,9011888361,,,Улаанбаатар Чингэлтэй 2-р хороо Төмөрчин 8 9,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0,125592754372644,Банк бус санхүүгийн байгууллага,"Гадаад валютын арилжаа,  Зээл",Голден Базра Лаки ББСБ ХХК,ТЗ 101/827,3/12/2026 12:00:00 AM,67,7128809,9019099459,H.Ling,,"Улаанбаатар Сүхбаатар 1-р хороо Соёл амралтын хүрээлэн/14240/, олимпийн гудамж 7/2 байр 1301 тоот",https://www.frc.mn:5001/api/frc/entity?id=12&otid=0
,,,,,,,,,,,,,,,,,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0,125592754372644,Банк бус санхүүгийн байгууллага,"Богино хугацаат санхүүгийн хэрэгсэлд хөрөнгө оруулалт хийх,  Зээл",Неонова Фин ББСБ ХХК,101/820,11/27/2025 12:00:00 AM,467,7121673,9011875481,,,Улаанбаатар Хан-Уул 17-р хороо  Академи 307,https://www.frc.mn:5001/api/frc/entity?id=12&otid=0
