text,register_guess,href,text_len
"4 Голден Базра Лаки ББСБ ХХК 2026-03-12 Улаанбаатар Сүхбаатар 1-р хороо Соёл амралтын хүрээлэн/14240/, олимпийн гудамж 7/2 байр 1301 тоот Дэлгэрэнгүй",,#/sct/org-detail/7128809,149
5 Неонова Фин ББСБ ХХК 2025-11-27 Улаанбаатар Хан-Уул 17-р хороо Академи 307 Дэлгэрэнгүй,,#/sct/org-detail/7121673,88
"7 ""ЗООС МАНДАЛ ББСБ"" ХХК 2025-11-13 Сэлэнгэ Мандал 7-р баг, Минжийнхангай minjin hangai 6 7 Дэлгэрэнгүй",,#/sct/org-detail/3783626,103
"8 ШИДЭТ ШИЛТГЭЭН ББСБ ХХК 2025-10-23 Төв Зуунмод 6-р баг, Баруун зуунмод Эдельвайс сувиллын байр 1 давхар 104 Дэлгэрэнгүй",,#/sct/org-detail/6506917,121
9 ЮНИВАР ББСБ ХХК 2025-09-25 Улаанбаатар Сүхбаатар 6-р хороо нэгдсэн үндэсний 8 8 Дэлгэрэнгүй,,#/sct/org-detail/6386857,93
12 Сатоши Накамото ББСБ ХХК 2025-08-07 Улаанбаатар Баянзүрх 26-р хороо Их монгол улс 107 97 Дэлгэрэнгүй,,#/sct/org-detail/7032993,103
"13 ГРАНД СОЁЛ ФИНАНС ББСБ"" ХХК 2025-07-24 Улаанбаатар Баянзүрх 14-р хороо ЭТӨЧ 496 24 Дэлгэрэнгүй",,#/sct/org-detail/6628249,97
"14 ""ПРОПЕР ФИНАНС ББСБ"" ХХК 2025-07-24 Сэлэнгэ Алтанбулаг 2-р баг, Суварга Суварга 3-р гудамж 303 Дэлгэрэнгүй",,#/sct/org-detail/3779068,109
"15 Пайнкоун финанс ББСБ 2025-06-26 Төв Баянчандмань 1-р баг, Чандмань Сүмбэр Политехникийн коллеж 2 давхарт Дэлгэрэнгүй",,#/sct/org-detail/7051033,119
"16 ""СЭЦЭН ФИНАНС ББСБ"" ХХК 2025-05-08 Улаанбаатар Хан-Уул 15-р хороо Шинэ суурьшил/17009/, нарны зам гудамж Ривер Вилла хотхон, 8/3 байр 3а тоот Дэлгэрэнгүй",,#/sct/org-detail/6156584,156
17 Фингейт Эм Эн ББСБ 2025-05-08 Улаанбаатар Хан-Уул 16-р хороо Зайсан туул гол 60Г 68 Дэлгэрэнгүй,,#/sct/org-detail/7080953,98
"18 ""Элит Оюу ББСБ"" ХХК 2025-03-20 Дархан-Уул Дархан 12-р баг 6-р хороолол Олон улсын худалдааны төв Дэлгэрэнгүй",,#/sct/org-detail/4294416,111
"19 ""УРАНГАН ФИНАНС ББСБ"" ХХК 2025-02-03 Дундгол гудамж Уранган ХХК 101 Дэлгэрэнгүй",,#/sct/org-detail/7092289,82
"20 ""Сод би эм капитал ББСБ"" ХХК 2024-12-27 Улаанбаатар Сүхбаатар 8-р хороо Бага тойруу Сити тауэр 1201 Дэлгэрэнгүй",,#/sct/org-detail/7079281,114
Банк бус санхүүгийн байгууллага,,/#/sct;id=12,31
"Зохицуулалтын салбар Үнэт цаас Даатгал Банк бус санхүүгийн байгууллага Хадгаламж зээлийн хоршоо Үл хөдлөх эд хөрөнгө зуучлал Үнэт металл, үнэт эдлэл Виртуал хөрөнгийн үйлчилгээ үзүүлэгч Мөнгөн зээлийн үйл ажиллагаа эрхлэгч",,/#/sct;id=11,222
ББСБ-уудын санхүүгийн тайлангийн нэгтгэлийн танилцуулга,,#/sct;id=12/doc/file/276,55
ББСБ-уудын анхааралд,,#/list/282,20
