period,location_id,aimag_city,region,latitude,longitude,branch_count,settlement_center_count,fx_unit_count,representative_office_count,other_unit_count,total_unit_count,employee_count,source_file,loaded_at
2026-05,1,Улаанбаатар,Нийслэл,47.918873,106.917633,222,169,29,0,4,424,11624,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,2,Завхан,Баруун бүс,47.741667,96.844444,4,53,0,0,0,57,223,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,3,Говь-Алтай,Баруун бүс,46.372222,96.258333,3,42,0,0,0,45,160,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,4,Баян-Өлгий,Баруун бүс,48.968333,89.968333,5,33,0,0,0,38,204,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,5,Ховд,Баруун бүс,47.005556,91.641944,6,41,0,0,0,47,254,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,6,Увс,Баруун бүс,49.981111,92.066667,5,43,0,0,0,48,227,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,7,Орхон,Хангайн бүс,49.027222,104.044444,9,23,0,0,0,32,332,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,8,Өвөрхангай,Хангайн бүс,46.263889,102.775,4,48,1,0,0,53,250,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,9,Булган,Хангайн бүс,48.8125,103.5347,3,35,0,0,0,38,147,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,10,Баянхонгор,Хангайн бүс,46.191667,100.718056,6,48,2,0,1,57,227,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,11,Архангай,Хангайн бүс,47.475,101.454167,4,40,0,0,0,44,182,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,12,Хөвсгөл,Хангайн бүс,49.633333,100.166667,4,52,0,0,1,57,253,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,13,Төв,Төвийн бүс,47.706944,106.952778,4,60,0,0,0,64,224,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,14,Говьсүмбэр,Төвийн бүс,46.361111,108.361111,3,7,0,0,0,10,70,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,15,Сэлэнгэ,Төвийн бүс,50.231389,106.207778,8,54,0,0,1,63,304,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,16,Дорноговь,Төвийн бүс,44.8825,110.116667,10,42,1,0,1,54,325,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,17,Дархан-Уул,Төвийн бүс,49.486667,105.922778,12,31,1,0,0,44,350,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,18,Өмнөговь,Төвийн бүс,43.570833,104.425,7,45,0,0,0,52,319,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,19,Дундговь,Төвийн бүс,45.7625,106.2711,3,31,0,0,1,35,129,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,20,Дорнод,Зүүн бүс,48.078333,114.535,6,35,0,0,0,41,232,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,21,Сүхбаатар,Зүүн бүс,46.680833,113.279167,4,32,0,0,0,36,168,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,22,Хэнтий,Зүүн бүс,47.319444,110.655556,4,44,0,0,0,48,201,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
2026-05,23,Гадаад улсуудад,Гадаад,,,0,0,0,6,0,6,9,2026 оны 05-р сар.pdf,2026-06-29T02:49:55
