period,bank_id,register,company_reg_num,company_name_vat,bank_pdf_name,bank_name_mn,bank_name_en,short_name,is_systemic_bank,branch_count,settlement_center_count,fx_unit_count,representative_office_count,other_unit_count,total_unit_count,source_file,loaded_at,bank_join_key,vat_join_key
2026-05,1,2635534,2635534,Худалдаа хөгжлийн банк,Худалдаа хөгжлийн,Худалдаа хөгжлийн банк,Trade and Development Bank,TDB,1,64,14,7,1,0,86,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ХУДАЛДААХӨГЖЛИЙН,ХУДАЛДААХӨГЖЛИЙН
2026-05,2,2693321,2693321,Хаан банк,ХААН,ХААН банк,Khan Bank,KHAN,1,32,487,0,1,8,528,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ХААН,ХААН
2026-05,3,2075377,2075377,Голомтбанк,Голомт,Голомт банк,Golomt Bank,GOLOMT,1,76,11,19,1,1,108,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ГОЛОМТ,ГОЛОМТ
2026-05,4,2078201,2078201,Тээвэр хөгжлийн банк,Тээвэр хөгжлийн,Тээвэр хөгжлийн банк,TransBank,TRANS,0,12,0,1,2,0,15,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ТЭЭВЭРХӨГЖЛИЙН,ТЭЭВЭРХӨГЖЛИЙН
2026-05,5,2111683,2111683,Аригбанк,Ариг,Ариг банк,Arig Bank,ARIG,0,23,13,0,0,0,36,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,АРИГ,АРИГ
2026-05,6,2693771,2693771,Үндэсний хөрөнгө оруулалтын банк,ҮХО,Үндэсний хөрөнгө оруулалтын банк,National Investment Bank of Mongolia,NIB,0,3,0,0,0,0,3,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ҮНДЭСНИЙХӨРӨНГӨОРУУЛАЛТЫН,ҮНДЭСНИЙХӨРӨНГӨОРУУЛАЛТЫН
2026-05,7,2677377,2677377,Капитрон банк,Капитрон,Капитрон банк,Capitron Bank,CAPITRON,0,21,12,3,0,0,36,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,КАПИТРОН,КАПИТРОН
2026-05,8,2578697,2578697,Хас банк,Хас,Хас банк,XacBank,XAC,1,53,16,0,0,0,69,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ХАС,ХАС
2026-05,9,2698072,2698072,Чингисхаан банк,Чингис Хаан,Чингис Хаан банк,Chinggis Khaan Bank,CKB,0,2,0,0,0,0,2,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ЧИНГИСХААН,ЧИНГИСХААН
2026-05,10,5341469,5341469,Төрийн банк,Төрийн,Төрийн банк,State Bank,STATE,1,31,454,4,1,0,490,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ТӨРИЙН,ТӨРИЙН
2026-05,11,5903858,5903858,Богдбанк,Богд,Богд банк,Bogd Bank,BOGD,0,17,0,0,0,0,17,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,БОГД,БОГД
2026-05,12,6207618,6207618,М банк,М,М банк,M Bank,MBANK,0,2,1,0,0,0,3,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,М,М
